,Player,Team,Elig. Pos.,Pos. Rank,Status,,,
109,Jacob Misiorowski,MIL,SP,SP45,,,,
110,Trevor Megill,MIL,SP,SP46,,,,
111,Byron Buxton,MIN,OF,OF24,,,,
112,Adley Rutschman,BAL,C,C7,,,,
113,Tyler Soderstrom,OAK,1B/OF,1B11,,,,
114,Taylor Ward,LAA,OF,OF25,,,,
115,Gleyber Torres,DET,2B,2B7,,,,
116,Agustín Ramírez,MIA,C,C8,,,,
117,Matt Chapman,SF,3B,3B8,,,,
118,Eury Pérez,MIA,SP,SP47,,,,
119,Jurickson Profar,ATL,OF,OF26,,,,
120,Emilio Pagán,CIN,SP,SP48,,,,
121,Pete Fairbanks,TB,SP,SP49,,,,
122,Ranger Suárez,PHI,SP,SP50,,,,
123,Ian Happ,CHC,OF,OF27,,,,
124,Zac Gallen,ARI,SP,SP51,,,,
125,Tanner Bibee,CLE,SP,SP52,,,,
126,Nolan McLean,NYM,SP,SP53,,,,
127,Hunter Goodman,COL,C,C9,,,,
128,Jeff Hoffman,TOR,SP,SP54,,,,
129,Ryan Helsley,STL,SP,SP55,,,,
130,Luke Keaschall,MIN,2B,2B8,,,,
131,Kenley Jansen,LAA,SP,SP56,,,,
132,Willy Adames,SF,SS,SS10,,,,
133,MacKenzie Gore,WSH,SP,SP57,,,,
134,Yainer Diaz,HOU,C,C10,,,,
135,Teoscar Hernández,LAD,OF,OF28,,,,
136,Cam Schlittler,NYY,SP,SP58,,,,
137,Marcus Semien,TEX,2B,2B9,,,,
138,Jeremy Peña,HOU,SS,SS11,,,,
139,Gavin Williams,CLE,SP,SP59,,,,
140,Michael King,SD,SP,SP60,,,,
141,Nick Lodolo,CIN,SP,SP61,,,,
142,Michael Harris II,ATL,OF,OF29,,,,
143,Andy Pages,LAD,OF,OF30,,,,
144,Jacob Wilson,OAK,SS,SS12,,,,
145,Daniel Palencia,CHC,SP,SP62,,,,
146,Bryan Abreu,HOU,SP,SP63,,,,
147,Drew Rasmussen,TB,SP,SP64,,,,
148,Emmet Sheehan,LAD,SP,SP65,,,,
149,Isaac Paredes,HOU,3B,3B9,,,,
150,Brandon Lowe,TB,2B,2B10,,,,
151,Alec Burleson,STL,1B/OF,1B12,,,,
152,Oneil Cruz,PIT,OF,OF31,,,,
153,Bryson Stott,PHI,2B,2B11,,,,
154,CJ Abrams,WSH,SS,SS13,,,,
155,Ceddanne Rafaela,BOS,2B/OF,2B12,,,,
156,Jackson Holliday,BAL,2B,2B13,,,,
157,Jack Flaherty,DET,SP,SP66,,,,
158,Griffin Jax,TB,SP,SP67,,,,
159,Matthew Boyd,CHC,SP,SP68,,,,
160,Shota Imanaga,CHC,SP,SP69,,,,
161,Robbie Ray,SF,SP,SP70,,,,
162,Trey Yesavage,TOR,SP,SP71,,,,
163,Jordan Westburg,BAL,3B,3B10,,,,
164,Ernie Clement,TOR,3B/2B/SS,3B11,,,,
165,Sandy Alcantara,MIA,SP,SP72,,,,
166,Bryan Reynolds,PIT,OF,OF32,,,,
167,Trevor Rogers,BAL,SP,SP73,,,,
168,Brendan Donovan,STL,2B,2B14,,,,
169,Alejandro Kirk,TOR,C,C11,,,,
170,Abner Uribe,MIL,SP,SP74,,,,
171,Yandy Díaz,TB,1B,1B13,,,,
172,Luis Arraez,SD,1B,1B14,,,,
173,Zach Neto,LAA,SS,SS14,,,,
174,Mike Trout,LAA,OF,OF33,,,,
175,Caleb Durbin,MIL,3B,3B12,,,,
176,Xavier Edwards,MIA,2B/SS,2B15,,,,
177,Andrew Abbott,CIN,SP,SP75,,,,
178,Robert Suarez,SD,SP,SP76,,,,
179,Michael Busch,CHC,1B,1B15,,,,
180,Carlos Rodón,NYY,SP,SP77,,,,
181,Luis García Jr.,WSH,2B,2B16,,,,
182,Merrill Kelly,TEX,SP,SP78,,,,
183,Jakob Marsee,MIA,OF,OF34,,,,
184,Jo Adell,LAA,OF,OF35,,,,
185,Aaron Nola,PHI,SP,SP79,,,,
186,Kyle Stowers,MIA,OF,OF36,,,,
187,Trevor Story,BOS,SS,SS15,,,,
188,Max Muncy,OAK,3B,3B13,,,,
189,Spencer Torkelson,DET,1B,1B16,,,,
190,Miguel Vargas,CWS,1B/3B,1B17,,,,
191,Cade Horton,CHC,SP,SP80,,,,
192,Kris Bubic,KC,SP,SP81,,,,
193,Chandler Simpson,TB,OF,OF37,,,,
194,Otto Lopez,MIA,SS/2B,SS16,,,,
195,Ryan O'Hearn,SD,1B/OF,1B18,,,,
196,Alec Bohm,PHI,3B,3B14,,,,
197,Royce Lewis,MIN,3B,3B15,,,,
198,Luis Robert Jr.,CWS,OF,OF38,,,,
199,Ryan Walker,SF,SP,SP82,,,,
200,Edward Cabrera,MIA,SP,SP83,,,,
201,Jung Hoo Lee,SF,OF,OF39,,,,
202,Jorge Polanco,SEA,2B,2B17,,,,
203,José Caballero,TB,2B/3B/SS/OF,2B18,,,,
204,Noelvi Marte,CIN,3B/OF,3B16,,,,
205,Bubba Chandler,PIT,SP,SP84,,,,
206,Dansby Swanson,CHC,SS,SS17,,,,
207,Christian Walker,HOU,1B,1B19,,,,
208,Roki Sasaki,LAD,SP,SP85,,,,
209,Sal Frelick,MIL,OF,OF40,,,,
210,Jason Adam,SD,SP,SP86,,,,
211,Robert Garcia,TEX,SP,SP87,,,,
212,Giancarlo Stanton,NYY,OF,OF41,,,,
213,Gabriel Moreno,ARI,C,C12,,,,
214,Jeremiah Estrada,SD,SP,SP88,,,,
215,Sal Stewart,CIN,1B/3B,1B20,,,,
216,Addison Barger,TOR,3B/OF,3B17,,,,
217,J.T. Realmuto,PHI,C,C13,,,,
218,Lawrence Butler,OAK,OF,OF42,,,,
219,Samuel Basallo,BAL,C,C14,,,,
220,Jonathan India,KC,2B/3B/OF,2B19,,,,
221,Dennis Santana,PIT,SP,SP89,,,,
222,Nolan Arenado,STL,3B,3B18,,,,
223,Shane Bieber,TOR,SP,SP90,,,,
224,Garrett Whitlock,BOS,SP,SP91,,,,
225,Shane Baz,TB,SP,SP92,,,,
226,Carlos Correa,MIN,SS/3B,SS18,,,,
227,Bailey Ober,MIN,SP,SP93,,,,
228,Willson Contreras,STL,1B,1B21,,,,
229,Tyler Rogers,SF,SP,SP94,,,,
230,Ian Seymour,TB,SP,SP95,,,,
231,Austin Wells,NYY,C,C15,,,,
232,Adrian Morejon,SD,SP,SP96,,,,
233,Adolis García,TEX,OF,OF43,,,,
234,Kerry Carpenter,DET,OF,OF44,,,,
235,Marcell Ozuna,ATL,DH,DH4,,,,
236,Brenton Doyle,COL,OF,OF45,,,,
237,Bryce Miller,SEA,SP,SP97,,,,
238,Hunter Gaddis,CLE,SP,SP98,,,,
239,Kodai Senga,NYM,SP,SP99,,,,
240,Heliot Ramos,SF,OF,OF46,,,,
241,Kyle Teel,CWS,C,C16,,,,
242,Trent Grisham,NYY,OF,OF47,,,,
243,Colson Montgomery,CWS,SS,SS19,,,,
244,Wilyer Abreu,BOS,OF,OF48,,,,
245,Yusei Kikuchi,LAA,SP,SP100,,,,
246,Colt Keith,DET,2B/3B,2B20,,,,
247,Daulton Varsho,TOR,OF,OF49,,,,
248,Will Vest,DET,SP,SP101,,,,
249,Noah Cameron,KC,SP,SP102,,,,
250,Xander Bogaerts,SD,SS,SS20,,,,
251,Mitch Keller,PIT,SP,SP103,,,,
252,Edwin Uceta,TB,SP,SP104,,,,
253,Spencer Schwellenbach,ATL,SP,SP105,,,,
254,Luke Weaver,NYY,SP,SP106,,,,
255,Alex Vesia,LAD,SP,SP107,,,,
256,Jac Caglianone,KC,OF,OF50,,,,
257,Francisco Alvarez,NYM,C,C17,,,,
258,Tommy Edman,LAD,2B/OF,2B21,,,,
259,Daylen Lile,WSH,OF,OF51,,,,
260,Brayan Bello,BOS,SP,SP108,,,,
261,Seranthony Domínguez,TOR,SP,SP109,,,,
262,Javier Sanoja,MIA,2B,2B22,,,,
263,Jake Cronenworth,SD,2B,2B23,,,,
264,Brady Singer,CIN,SP,SP110,,,,
265,Brooks Lee,MIN,2B/SS/3B,2B24,,,,
266,TJ Friedl,CIN,OF,OF52,,,,
267,Jack Leiter,TEX,SP,SP111,,,,
268,Willi Castro,MIN,2B/3B/OF,2B25,,,,
269,Chris Bassitt,TOR,SP,SP112,,,,
270,Zach McKinstry,DET,3B/SS/OF,3B19,,,,
271,Seth Lugo,KC,SP,SP113,,,,
272,Justin Verlander,SF,SP,SP114,,,,
273,Dylan Crews,WSH,OF,OF53,,,,
274,Matt McLain,CIN,2B,2B26,,,,
275,Matt Strahm,PHI,SP,SP115,,,,
276,Josh Smith,TEX,1B/SS/3B,1B22,,,,
277,Clay Holmes,NYM,SP,SP116,,,,
278,Javier Báez,DET,SS/3B/OF,SS21,,,,
279,JoJo Romero,STL,SP,SP117,,,,
280,Tony Santillan,CIN,SP,SP118,,,,
281,Carter Jensen,KC,C,C18,,,,
282,Tanner Scott,LAD,SP,SP119,,,,
283,Camilo Doval,SF,SP,SP120,,,,
284,José Soriano,LAA,SP,SP121,,,,
285,Michael Wacha,KC,SP,SP122,,,,
286,Kyle Finnegan,DET,SP,SP123,,,,
287,Quinn Priester,MIL,SP,SP124,,,,
288,Justin Steele,CHC,SP,SP125,,,,
289,Jonathan Aranda,TB,1B,1B23,,,,
290,Dillon Dingler,DET,C,C19,,,,
291,Shane Smith,CWS,SP,SP126,,,,
292,Carson Kelly,CHC,C,C20,,,,
293,Masyn Winn,STL,SS,SS22,,,,
