player_name,team,eligible_positions
A.J. Puk,ARI,RP
Adrian Del Castillo,ARI,DH
Alek Thomas,ARI,OF
Andrew Hoffmann,ARI,RP
Andrew Saalfrank,ARI,RP
Aramis Garcia,ARI,C
Brandon Pfaadt,ARI,SP
Brandyn Garcia,ARI,RP
Bryce Jarvis,ARI,RP
Carlos Santana,ARI,1B
Corbin Burnes,ARI,SP
Corbin Carroll,ARI,OF
Cristian Mena,ARI,SP
Drey Jameson,ARI,RP
Eduardo Rodriguez,ARI,SP
Gabriel Moreno,ARI,C
Geraldo Perdomo,ARI,SS
Grant Holman,ARI,RP
Ildemaro Vargas,ARI,1B/2B
Isaiah Campbell,ARI,RP
Jacob Amaya,ARI,SS
James McCann,ARI,C
Joe Ross,ARI,RP
John Curtiss,ARI,RP
Jonathan Loáisiga,ARI,RP
Jordan Lawlar,ARI,3B
Jorge Barrosa,ARI,OF
Juan Burgos,ARI,RP
Juan Morillo,ARI,RP
Justin Martinez,ARI,RP
Kade Strowd,ARI,RP
Ketel Marte,ARI,2B/DH
Kevin Ginkel,ARI,RP
Lourdes Gurriel Jr.,ARI,OF
Luken Baker,ARI,DH
Merrill Kelly,ARI,SP
Michael Soroka,ARI,SP
Nolan Arenado,ARI,3B
Paul Sewald,ARI,RP
Pavin Smith,ARI,1B/DH
Philip Abner,ARI,RP
Ryan Thompson,ARI,RP
Ryne Nelson,ARI,SP/RP
Shawn Dubin,ARI,RP
Taylor Clarke,ARI,RP
Tim Tawa,ARI,1B/2B/OF
Tommy Henry,ARI,SP
Tyler Locklear,ARI,1B
Yilber Díaz,ARI,SP/RP
Zac Gallen,ARI,SP
Aaron Civale,ATH,SP
Andy Ibáñez,ATH,3B
Austin Wynns,ATH,C
Ben Bowden,ATH,RP
Brady Basso,ATH,RP
Brent Rooker,ATH,OF/DH
Brett Harris,ATH,3B
Carlos Cortes,ATH,OF
Chad Wallach,ATH,C
Colby Thomas,ATH,OF
Darell Hernaiz,ATH,2B/3B/SS
Denzel Clarke,ATH,OF
Elvis Alvarado,ATH,RP
Gunnar Hoglund,ATH,SP
Hogan Harris,ATH,RP
J.T. Ginn,ATH,SP
Jack Perkins,ATH,RP
Jacob Lopez,ATH,SP
Jacob Wilson,ATH,SS
Jeff McNeil,ATH,2B/OF
Jeffrey Springs,ATH,SP
Joey Estes,ATH,SP
Justin Sterner,ATH,RP
