player_name,team,eligible_positions
Lawrence Butler,ATH,OF
Luis Morales,ATH,SP
Luis Severino,ATH,SP
Mark Leiter Jr.,ATH,RP
Mason Barnett,ATH,SP
Michael Kelly,ATH,RP
Nick Anderson,ATH,RP
Nick Kurtz,ATH,1B
Scott Barlow,ATH,RP
Shea Langeliers,ATH,C
Tyler Ferguson,ATH,RP
Tyler Soderstrom,ATH,1B/OF
Wander Suero,ATH,RP
Zack Gelof,ATH,2B
AJ Smith-Shawver,ATL,SP
Aaron Bummer,ATL,RP
Aaron Schunk,ATL,2B/SS
Austin Riley,ATL,3B
Brett Wisely,ATL,2B
Bryce Elder,ATL,SP
Carlos Carrasco,ATL,SP
Chadwick Tromp,ATL,C
Chris Sale,ATL,SP
DaShawn Keirsey Jr.,ATL,OF
Danny Young,ATL,RP
Daysbel Hernández,ATL,RP
Didier Fuentes,ATL,SP
Dominic Smith,ATL,1B
Drake Baldwin,ATL,C
Dylan Dodd,ATL,RP
Dylan Lee,ATL,RP
Eli White,ATL,OF
Grant Holmes,ATL,SP
Ha-Seong Kim,ATL,SS
Hayden Harris,ATL,RP
Hunter Stratton,ATL,RP
Hurston Waldrep,ATL,SP
Ian Hamilton,ATL,RP
Joel Payamps,ATL,RP
Joey Wentz,ATL,SP/RP
Jonah Heim,ATL,C/DH
Jorge Mateo,ATL,SS/OF
José Suarez,ATL,SP/RP
Jurickson Profar,ATL,OF
Kyle Farmer,ATL,2B/DH
Luke Williams,ATL,SS
Martín Pérez,ATL,SP
Matt Olson,ATL,1B
Mauricio Dubón,ATL,2B/3B/SS/OF
Michael Harris II,ATL,OF
Mike Yastrzemski,ATL,OF
Nacho Alvarez Jr.,ATL,3B
Ozzie Albies,ATL,2B
Raisel Iglesias,ATL,RP
Reynaldo López,ATL,SP
Robert Suarez,ATL,RP
Ronald Acuña Jr.,ATL,OF
Sean Murphy,ATL,C
Spencer Schwellenbach,ATL,SP
Spencer Strider,ATL,SP
Tayler Scott,ATL,RP
Tristin English,ATL,1B
Tyler Kinley,ATL,RP
Adley Rutschman,BAL,C
Albert Suárez,BAL,RP
Andrew Kittredge,BAL,RP
Blaze Alexander,BAL,3B
Brandon Young,BAL,SP
Bryan Ramos,BAL,3B
Cade Povich,BAL,SP
Chayce McDermott,BAL,SP/RP
Chris Bassitt,BAL,SP
Coby Mayo,BAL,1B
Colin Selby,BAL,RP
Colton Cowser,BAL,OF
Dean Kremer,BAL,SP
Dietrich Enns,BAL,RP
Dylan Beavers,BAL,OF
Félix Bautista,BAL,RP
Grant Wolfram,BAL,RP
Gunnar Henderson,BAL,SS
Heston Kjerstad,BAL,OF
Jackson Holliday,BAL,2B
Jackson Kowar,BAL,RP
Jeremiah Jackson,BAL,3B/OF
Jhonkensy Noel,BAL,OF
Jordan Westburg,BAL,3B
Jose Espada,BAL,RP
Josh Walker,BAL,RP
Keegan Akin,BAL,RP
Kyle Bradish,BAL,SP
Leody Taveras,BAL,OF
Luis Vázquez,BAL,3B/SS
Pete Alonso,BAL,1B
Rico Garcia,BAL,RP
Ryan Helsley,BAL,RP
Ryan Mountcastle,BAL,1B/DH
Ryan Noda,BAL,1B/OF
Samuel Basallo,BAL,C
Shane Baz,BAL,SP
Taylor Ward,BAL,OF
Trevor Rogers,BAL,SP
Tyler O'Neill,BAL,OF
Tyler Wells,BAL,SP
Weston Wilson,BAL,OF
Will Robertson,BAL,OF
Yaramil Hiraldo,BAL,RP
Yennier Cano,BAL,RP
Zach Eflin,BAL,SP
Andruw Monasterio,BOS,SS
Anthony Seigler,BOS,3B
Aroldis Chapman,BOS,RP
Brayan Bello,BOS,SP
Brendan Rodgers,BOS,2B
Caleb Durbin,BOS,3B
Carlos Narváez,BOS,C
Ceddanne Rafaela,BOS,2B/OF
Connelly Early,BOS,SP
Connor Wong,BOS,C
Garrett Crochet,BOS,SP
Garrett Whitlock,BOS,RP
Greg Weissert,BOS,RP
Isiah Kiner-Falefa,BOS,3B/SS
Jarren Duran,BOS,OF
Johan Oviedo,BOS,SP
Jovani Morán,BOS,SP/RP
Justin Slaten,BOS,RP
Kristian Campbell,BOS,2B
Marcelo Mayer,BOS,3B
Masataka Yoshida,BOS,DH
Matt Thaiss,BOS,C
Mickey Gasper,BOS,C
Nate Eaton,BOS,3B/OF
Nick Sogard,BOS,1B/2B/3B
Payton Tolle,BOS,SP
Ranger Suárez,BOS,SP
Roman Anthony,BOS,OF
Romy Gonzalez,BOS,1B/2B
Seth Martinez,BOS,RP
Sonny Gray,BOS,SP
Tanner Houck,BOS,SP
Trevor Story,BOS,SS
Triston Casas,BOS,1B
Tsung-Che Cheng,BOS,3B/SS
Vinny Capra,BOS,3B/SS
Willson Contreras,BOS,1B
Wilyer Abreu,BOS,OF
Zack Kelly,BOS,RP
Alex Bregman,CHC,3B
Ben Brown,CHC,SP/RP
Cade Horton,CHC,SP
Caleb Thielbar,CHC,RP
Carson Kelly,CHC,C
Chas McCormick,CHC,OF
Chris Flexen,CHC,RP
Colin Rea,CHC,SP
Corbin Martin,CHC,RP
Daniel Palencia,CHC,RP
Dansby Swanson,CHC,SS
Dylan Carlson,CHC,OF
Edward Cabrera,CHC,SP
Ethan Roberts,CHC,RP
Gavin Hollowell,CHC,RP
Hoby Milner,CHC,RP
Hunter Harvey,CHC,RP
Ian Happ,CHC,OF
Jacob Webb,CHC,RP
Jameson Taillon,CHC,SP
Javier Assad,CHC,SP
Jeff Brigham,CHC,RP
Jordan Wicks,CHC,RP
Justin Dean,CHC,OF
Justin Steele,CHC,SP
Kevin Alcántara,CHC,OF
Luke Little,CHC,RP
Matt Shaw,CHC,3B
Matthew Boyd,CHC,SP
Michael Busch,CHC,1B
Miguel Amaya,CHC,C
Moisés Ballesteros,CHC,DH
Nico Hoerner,CHC,2B
Owen Miller,CHC,2B
Pete Crow-Armstrong,CHC,OF
Phil Maton,CHC,RP
Porter Hodge,CHC,RP
Ryan Rolison,CHC,RP
Scott Kingery,CHC,2B/OF
Seiya Suzuki,CHC,OF/DH
Shelby Miller,CHC,RP
Shota Imanaga,CHC,SP
Trent Thornton,CHC,RP
Andrew Abbott,CIN,SP
Blake Dunn,CIN,OF
Brady Singer,CIN,SP
Brock Burke,CIN,RP
Caleb Ferguson,CIN,RP
Carson Spiers,CIN,SP
Chase Burns,CIN,SP
Chase Petty,CIN,SP
Christian Encarnacion-Strand,CIN,1B/3B
Connor Phillips,CIN,RP
Dane Myers,CIN,OF
Darren McCaughan,CIN,SP/RP
Elly De La Cruz,CIN,SS
Emilio Pagán,CIN,RP
Eugenio Suárez,CIN,3B
Garrett Hampson,CIN,OF
Graham Ashcraft,CIN,RP
Hunter Greene,CIN,SP
JJ Bleday,CIN,OF
Jose Trevino,CIN,C
Ke'Bryan Hayes,CIN,3B
Luis Mey,CIN,RP
Lyon Richardson,CIN,RP
Matt McLain,CIN,2B
Michael Toglia,CIN,1B
Nathaniel Lowe,CIN,1B
Nick Lodolo,CIN,SP
Noelvi Marte,CIN,3B/OF
Pierce Johnson,CIN,RP
Rece Hinds,CIN,OF
Sal Stewart,CIN,1B/3B
Sam Moll,CIN,RP
Spencer Steer,CIN,1B
TJ Friedl,CIN,OF
Tony Santillan,CIN,RP
Tyler Callihan,CIN,2B/OF
Tyler Stephenson,CIN,C
Will Banfield,CIN,C
Will Benson,CIN,OF
Andrew Walters,CLE,RP
Angel Martínez,CLE,2B/OF
Austin Hedges,CLE,C
Ben Lively,CLE,SP
Bo Naylor,CLE,C
Brayan Rocchio,CLE,2B/SS
CJ Kayfus,CLE,1B/OF
Cade Smith,CLE,RP
Carlos Hernández,CLE,RP
Carter Kieboom,CLE,1B/DH
Chase DeLauter,CLE,OF
Codi Heuer,CLE,RP
Colin Holderman,CLE,RP
Connor Brogdon,CLE,RP
Daniel Schneemann,CLE,2B/3B/OF
David Fry,CLE,DH
Dom Nuñez,CLE,C/DH
Doug Nikhazy,CLE,SP
Emmanuel Clase,CLE,RP
Erik Sabrowski,CLE,RP
Gabriel Arias,CLE,2B/SS
Gavin Williams,CLE,SP
George Valera,CLE,OF/DH
Hunter Gaddis,CLE,RP
Joey Cantillo,CLE,SP/RP
Johnathan Rodríguez,CLE,OF
José Ramírez,CLE,3B/DH
Kolby Allard,CLE,RP
Kyle Manzardo,CLE,1B/DH
Logan Allen,CLE,SP
Luis Ortiz,CLE,SP
Matt Festa,CLE,RP
Nolan Jones,CLE,OF
Parker Messick,CLE,SP
Petey Halpin,CLE,OF
Shawn Armstrong,CLE,RP
Slade Cecconi,CLE,SP
Steven Kwan,CLE,OF
Stuart Fairchild,CLE,OF
Tanner Bibee,CLE,SP
Tim Herrin,CLE,RP
Adael Amador,COL,2B
Antonio Senzatela,COL,SP
Blaine Crim,COL,1B
Braxton Fulford,COL,C
Brennan Bernardino,COL,RP
Brenton Doyle,COL,OF
Brett Sullivan,COL,C
Carson Palmquist,COL,SP
Chase Dollander,COL,SP
Edouard Julien,COL,1B/2B
Ezequiel Tovar,COL,SS
Hunter Goodman,COL,C/DH
Jaden Hill,COL,RP
Jake McCarthy,COL,OF
Jimmy Herget,COL,RP
John Brebbia,COL,RP
Jordan Beck,COL,OF
Jose Quintana,COL,SP
Juan Mejia,COL,RP
Kris Bryant,COL,DH
Kyle Freeland,COL,SP
Kyle Karros,COL,3B
Luis Peralta,COL,RP
McCade Brown,COL,SP
Michael Lorenzen,COL,SP
Mickey Moniak,COL,OF
Nicky Lopez,COL,3B
Pierson Ohl,COL,RP
Roansy Contreras,COL,SP/RP
Ryan Feltner,COL,SP
Ryan Ritter,COL,2B/SS
Seth Halvorsen,COL,RP
Tanner Gordon,COL,SP
Tomoyuki Sugano,COL,SP
Troy Johnston,COL,1B/OF
Tyler Freeman,COL,OF/DH
Valente Bellozo,COL,SP/RP
Victor Vodnik,COL,RP
Vimael Machín,COL,1B/2B/3B
Willi Castro,COL,2B/3B/OF
Zac Veen,COL,OF
Zach Agnos,COL,RP
Andrew Benintendi,CWS,OF/DH
Austin Hays,CWS,OF/DH
Brandon Eisert,CWS,RP
Brooks Baldwin,CWS,OF
Chase Meidroth,CWS,2B/SS
Chris Murphy,CWS,RP
Colson Montgomery,CWS,SS
Curtis Mead,CWS,1B/3B
Davis Martin,CWS,SP
Derek Hill,CWS,OF
Drew Romo,CWS,C
Dustin Harris,CWS,OF
Edgar Quero,CWS,C/DH
Erick Fedde,CWS,SP/RP
Everson Pereira,CWS,OF
Fraser Ellard,CWS,RP
Gage Workman,CWS,3B/SS
Grant Taylor,CWS,RP
Jarred Kelenic,CWS,OF
Jonathan Cannon,CWS,SP
Jordan Hicks,CWS,SP/RP
Jordan Leasure,CWS,RP
Korey Lee,CWS,C
Kyle Teel,CWS,C
LaMonte Wade Jr.,CWS,1B/OF
Lenyn Sosa,CWS,1B/2B
Lucas Sims,CWS,RP
Luisangel Acuña,CWS,2B
Miguel Vargas,CWS,1B/3B
Mike Vasil,CWS,RP
Oliver Dunn,CWS,3B
Ryan Borucki,CWS,RP
Sean Burke,CWS,SP
Sean Newcomb,CWS,SP/RP
Seranthony Domínguez,CWS,RP
Shane Smith,CWS,SP
Tim Elko,CWS,1B
Tristan Peters,CWS,OF
Tyler Gilbert,CWS,SP/RP
Wikelman González,CWS,RP
Austin Slater,DET,OF
Bailey Horn,DET,RP
Beau Brieske,DET,RP
Brant Hurter,DET,RP
Brenan Hanifee,DET,RP
Casey Mize,DET,SP
Colt Keith,DET,2B/3B/DH
Dillon Dingler,DET,C
Dylan Smith,DET,RP
Framber Valdez,DET,SP
Gleyber Torres,DET,2B
Jace Jung,DET,3B
Jack Flaherty,DET,SP
Jackson Jobe,DET,SP
Jahmai Jones,DET,OF/DH
Jake Rogers,DET,C
Javier Báez,DET,3B/SS/OF
Justin Verlander,DET,SP
Keider Montero,DET,SP/RP
Kenley Jansen,DET,RP
Kerry Carpenter,DET,OF/DH
Konnor Pilkington,DET,RP
Kyle Finnegan,DET,RP
Manuel Margot,DET,OF
Matt Vierling,DET,OF
Parker Meadows,DET,OF
Reese Olson,DET,SP
Riley Greene,DET,OF/DH
Sawyer Gipson-Long,DET,SP
Sean Guenther,DET,RP
Spencer Torkelson,DET,1B
Tanner Rainey,DET,RP
Tarik Skubal,DET,SP
Tomás Nido,DET,C
Trey Sweeney,DET,SS
Troy Melton,DET,RP
Tyler Holton,DET,SP/RP
Wenceel Pérez,DET,OF
Will Vest,DET,RP
Wilmer Flores,DET,RP
Zach McKinstry,DET,3B/SS/OF
AJ Blubaugh,HOU,RP
Anthony Maldonado,HOU,RP
Bennett Sousa,HOU,RP
Brandon Walter,HOU,SP
Brice Matthews,HOU,2B
Bryan Abreu,HOU,RP
Bryan King,HOU,RP
Cam Smith,HOU,OF
Carlos Correa,HOU,3B/SS
Cavan Biggio,HOU,OF
Christian Walker,HOU,1B
Cody Bolton,HOU,RP
Colton Gordon,HOU,SP
Cristian Javier,HOU,SP
César Salazar,HOU,C
Enyel De Los Santos,HOU,RP
Hayden Wesneski,HOU,SP
Hunter Brown,HOU,SP
Isaac Paredes,HOU,3B
J.P. France,HOU,SP
Jack Winkler,HOU,2B
Jake Meyers,HOU,OF
Jason Alexander,HOU,SP
Jayden Murray,HOU,RP
Jeremy Peña,HOU,SS
Joey Loperfido,HOU,OF
Jose Altuve,HOU,2B/OF/DH
Josh Hader,HOU,RP
Kai-Wei Teng,HOU,SP
Lance McCullers Jr.,HOU,SP
Mike Burrows,HOU,SP
Nate Pearson,HOU,RP
Nick Allen,HOU,SS
Roddery Muñoz,HOU,RP
Ronel Blanco,HOU,SP
Shay Whitcomb,HOU,2B/3B
Spencer Arrighetti,HOU,SP
Steven Okert,HOU,RP
Taylor Trammell,HOU,OF
Tom Cosgrove,HOU,RP
Yainer Diaz,HOU,C/DH
Yordan Alvarez,HOU,OF/DH
Zach Cole,HOU,OF
Zach Dezenzo,HOU,OF
Abraham Toro,KC,1B
Alex Lange,KC,RP
Bailey Falter,KC,SP
Bobby Witt Jr.,KC,SS
Carlos Estévez,KC,RP
Carter Jensen,KC,C/DH
Cole Ragans,KC,SP
Connor Kaiser,KC,2B
Dairon Blanco,KC,OF
Daniel Lynch IV,KC,RP
Drew Waters,KC,OF
Eli Morgan,KC,RP
Héctor Neris,KC,RP
Isaac Collins,KC,OF
Jac Caglianone,KC,OF
John Rave,KC,OF
John Schreiber,KC,RP
Jonathan India,KC,2B/3B/OF/DH
Jorge Alfaro,KC,C
Josh Rojas,KC,2B/3B
Kameron Misner,KC,OF
Kevin Newman,KC,3B
Kris Bubic,KC,SP
Kyle Isbel,KC,OF
Lane Thomas,KC,OF
Lucas Erceg,KC,RP
Luinder Avila,KC,RP
Maikel Garcia,KC,3B
Mason Black,KC,SP
Matt Strahm,KC,RP
Michael Massey,KC,2B
Michael Wacha,KC,SP
Mitch Spence,KC,SP/RP
Nick Loftin,KC,OF
Nick Mears,KC,RP
Noah Cameron,KC,SP
Ryan Bergert,KC,SP
Salvador Perez,KC,C/1B/DH
Seth Lugo,KC,SP
Stephen Kolek,KC,SP
Steven Cruz,KC,RP
Tyler Tolbert,KC,OF
Vinnie Pasquantino,KC,1B/DH
Adam Frazier,LAA,2B/OF
Ben Joyce,LAA,RP
Brent Suter,LAA,RP
Bryce Teodosio,LAA,OF
Caden Dana,LAA,SP
Chase Silseth,LAA,RP
Chris Taylor,LAA,OF
Christian Moore,LAA,2B
Denzer Guzman,LAA,SS
Donovan Walton,LAA,2B/SS
Drew Pomeranz,LAA,RP
Hunter Strickland,LAA,RP
Jack Kochanowicz,LAA,SP
Jeimer Candelario,LAA,1B/3B
Jo Adell,LAA,OF
Jordan Romano,LAA,RP
Jorge Soler,LAA,OF/DH
Jose Siri,LAA,OF
Josh Lowe,LAA,OF
José Soriano,LAA,SP
Kaleb Ort,LAA,RP
Kirby Yates,LAA,RP
Kyren Paris,LAA,2B/OF
Logan O'Hoppe,LAA,C
Matthew Lugo,LAA,OF
Mike Trout,LAA,OF/DH
Mitch Farris,LAA,SP
Nick Sandlin,LAA,RP
Niko Kavadas,LAA,1B
Nolan Schanuel,LAA,1B
Oswald Peraza,LAA,3B
Reid Detmers,LAA,RP
Robert Stephenson,LAA,RP
Ryan Johnson,LAA,RP
Ryan Zeferjahn,LAA,RP
Sam Aldegheri,LAA,SP
Sam Bachman,LAA,RP
Tayler Saucedo,LAA,RP
Touki Toussaint,LAA,RP
Travis d'Arnaud,LAA,C
Tyler Anderson,LAA,SP
Victor Mederos,LAA,SP
Yoán Moncada,LAA,3B
Yusei Kikuchi,LAA,SP
Zach Neto,LAA,SS
Alex Call,LAD,OF
Alex Freeland,LAD,2B/3B
Alex Vesia,LAD,RP
Andy Pages,LAD,OF
Ben Casparius,LAD,RP
Blake Snell,LAD,SP
Blake Treinen,LAD,RP
Bobby Miller,LAD,SP/RP
Brock Stewart,LAD,RP
Chuckie Robinson,LAD,C
Dalton Rushing,LAD,C
Edgardo Henriquez,LAD,RP
Edwin Díaz,LAD,RP
Emmet Sheehan,LAD,SP
Enrique Hernández,LAD,1B/3B/OF
Evan Phillips,LAD,RP
Freddie Freeman,LAD,1B
Garrett McDaniels,LAD,RP
Hyeseong Kim,LAD,2B
Jack Dreyer,LAD,SP/RP
Jack Suwinski,LAD,OF
Justin Wrobleski,LAD,RP
Keston Hiura,LAD,1B
Kyle Tucker,LAD,OF
Landon Knack,LAD,SP
Matt Gorski,LAD,1B/OF
Max Muncy,LAD,3B
Michael Siani,LAD,OF
Miguel Rojas,LAD,2B/3B/SS
Mookie Betts,LAD,SS
Paul Gervase,LAD,RP
Roki Sasaki,LAD,SP
Ryan Fitzgerald,LAD,2B/SS
Santiago Espinal,LAD,3B
Shohei Ohtani,LAD,SP/DH
Tanner Scott,LAD,RP
Teoscar Hernández,LAD,OF
Tommy Edman,LAD,2B/OF
Tony Gonsolin,LAD,SP
Tyler Glasnow,LAD,SP
Will Klein,LAD,RP
Will Smith,LAD,C
Yoshinobu Yamamoto,LAD,SP
Adam Mazur,MIA,SP
Agustín Ramírez,MIA,C/DH
Anthony Bender,MIA,RP
Bradley Blalock,MIA,SP
Brian Navarreto,MIA,C
Cade Gibson,MIA,RP
Calvin Faucher,MIA,RP
Chris Paddack,MIA,SP
Christopher Morel,MIA,OF
Connor Norby,MIA,3B
Daniel Johnson,MIA,OF
Esteury Ruiz,MIA,OF
Eury Pérez,MIA,SP
Garrett Acton,MIA,RP
Graham Pauley,MIA,3B
Griffin Conine,MIA,OF
Heriberto Hernández,MIA,OF/DH
Jakob Marsee,MIA,OF
Janson Junk,MIA,SP
Javier Sanoja,MIA,2B/3B/OF/RP
Jesus Tinoco,MIA,RP
John King,MIA,RP
Kyle Stowers,MIA,OF
Lake Bachar,MIA,RP
Liam Hicks,MIA,C/1B/DH
Max Meyer,MIA,SP
Maximo Acosta,MIA,2B/3B/SS
Michael Petersen,MIA,RP
Otto Lopez,MIA,2B/SS
Owen Caissie,MIA,OF
Pete Fairbanks,MIA,RP
Ronny Henriquez,MIA,RP
Ryan Gusto,MIA,SP/RP
Sandy Alcantara,MIA,SP
Tyler Phillips,MIA,RP
Tyler Zuber,MIA,RP
Xavier Edwards,MIA,2B/SS
Aaron Ashby,MIL,RP
Abner Uribe,MIL,RP
Akil Baddoo,MIL,OF
Andrew Vaughn,MIL,1B
Angel Zerpa,MIL,RP
Blake Perkins,MIL,OF
Brandon Lockridge,MIL,OF
Brandon Sproat,MIL,SP
Brandon Woodruff,MIL,SP
Brice Turang,MIL,2B
Carlos Rodriguez,MIL,SP
Chad Patrick,MIL,SP
Christian Yelich,MIL,DH
Craig Yoho,MIL,RP
DL Hall,MIL,RP
David Hamilton,MIL,2B
Easton McGee,MIL,RP
Garrett Mitchell,MIL,OF
Gary Sánchez,MIL,C
Grant Anderson,MIL,RP
Jackson Chourio,MIL,OF
Jacob Misiorowski,MIL,SP
Jake Bauers,MIL,1B/OF
Jared Koenig,MIL,RP
Joey Ortiz,MIL,SS
Jordyn Adams,MIL,OF
Kyle Harrison,MIL,SP
Logan Henderson,MIL,SP
Luis Rengifo,MIL,2B/3B
Quinn Priester,MIL,SP
Reese McGuire,MIL,C
Rob Zastryzny,MIL,RP
Robert Gasser,MIL,SP
Sal Frelick,MIL,OF
Sammy Peralta,MIL,SP/RP
Trevor Megill,MIL,RP
Tyler Black,MIL,1B/OF
William Contreras,MIL,C/DH
Alan Roden,MIN,OF
Alex Jackson,MIN,C
Andrew Chafin,MIN,RP
Anthony Banda,MIN,RP
Austin Martin,MIN,OF
Bailey Ober,MIN,SP
Brooks Lee,MIN,2B/3B/SS
Byron Buxton,MIN,OF
Cody Laweryson,MIN,RP
Cole Sands,MIN,RP
David Bañuelos,MIN,C
David Festa,MIN,SP
Eric Orze,MIN,RP
Eric Wagaman,MIN,1B/OF
Gio Urshela,MIN,3B
James Outman,MIN,OF
Joe Ryan,MIN,SP
Josh Bell,MIN,1B/DH
Julian Merryweather,MIN,RP
Justin Topa,MIN,RP
Kody Clemens,MIN,1B/2B
Kody Funderburk,MIN,RP
Liam Hendriks,MIN,RP
Luke Keaschall,MIN,2B
Matt Bowman,MIN,RP
Matt Wallner,MIN,OF
Mick Abel,MIN,SP
Orlando Arcia,MIN,2B/3B/SS
Pablo López,MIN,SP
Royce Lewis,MIN,3B
Ryan Jeffers,MIN,C/DH
Ryan Kreidler,MIN,OF
Simeon Woods Richardson,MIN,SP
Taj Bradley,MIN,SP
Taylor Rogers,MIN,RP
Travis Adams,MIN,RP
Trevor Larnach,MIN,OF/DH
Tristan Gray,MIN,2B/SS
Victor Caratini,MIN,C/DH
Zebby Matthews,MIN,SP
A.J. Minter,NYM,RP
Austin Barnes,NYM,C
Austin Warren,NYM,RP
Ben Rortvedt,NYM,C
Bo Bichette,NYM,SS
Brett Baty,NYM,2B/3B
Brooks Raley,NYM,RP
Bryan Hudson,NYM,RP
Carl Edwards Jr.,NYM,SP/RP
Clay Holmes,NYM,SP
Craig Kimbrel,NYM,RP
David Peterson,NYM,SP
Dedniel Núñez,NYM,RP
Devin Williams,NYM,RP
Francisco Alvarez,NYM,C
Francisco Lindor,NYM,SS
Freddy Peralta,NYM,SP
Hayden Senger,NYM,C
Huascar Brazobán,NYM,RP
Jared Young,NYM,DH
Ji Hwan Bae,NYM,OF
Joey Gerber,NYM,SP/RP
Jonah Tong,NYM,SP
Jorge Polanco,NYM,2B/DH
Juan Soto,NYM,OF
Justin Hagenman,NYM,RP
Kodai Senga,NYM,SP
Luis Garcia,NYM,RP
Luis Robert Jr.,NYM,OF
Luis Torrens,NYM,C
Luke Weaver,NYM,RP
MJ Melendez,NYM,OF
Marcus Semien,NYM,2B
Mark Vientos,NYM,3B/DH
Mike Tauchman,NYM,OF
Nick Burdi,NYM,RP
Nolan McLean,NYM,SP
Reed Garrett,NYM,RP
Robert Stock,NYM,SP
Ronny Mauricio,NYM,3B
Sean Manaea,NYM,SP
Tobias Myers,NYM,SP/RP
Tylor Megill,NYM,SP
Tyrone Taylor,NYM,OF
Vidal Bruján,NYM,3B
Aaron Judge,NYY,OF/DH
Ali Sánchez,NYY,C
Amed Rosario,NYY,2B/3B
Angel Chivilli,NYY,RP
Anthony Volpe,NYY,SS
Austin Wells,NYY,C
Ben Rice,NYY,C/1B/DH
Brent Headrick,NYY,RP
Cam Schlittler,NYY,SP
Camilo Doval,NYY,RP
Carlos Rodón,NYY,SP
Clarke Schmidt,NYY,SP
Cody Bellinger,NYY,OF
David Bednar,NYY,RP
Fernando Cruz,NYY,RP
Giancarlo Stanton,NYY,OF/DH
J.C. Escarra,NYY,C
Jake Bird,NYY,RP
Jasson Domínguez,NYY,OF
Jazz Chisholm Jr.,NYY,2B/3B
Jorbit Vivas,NYY,2B/3B
José Caballero,NYY,2B/3B/SS/OF
Luis Gil,NYY,SP
Max Fried,NYY,SP
Max Schuemann,NYY,2B/3B/SS
Osvaldo Bido,NYY,SP/RP
Oswaldo Cabrera,NYY,3B
Paul Blackburn,NYY,RP
Paul DeJong,NYY,3B
Paul Goldschmidt,NYY,1B
Rafael Montero,NYY,RP
Ryan McMahon,NYY,3B
Ryan Weathers,NYY,SP
Ryan Yarbrough,NYY,SP/RP
Seth Brown,NYY,OF
Tim Hill,NYY,RP
Trent Grisham,NYY,OF
Will Warren,NYY,SP
Yanquiel Fernández,NYY,OF/DH
Yerry De los Santos,NYY,RP
Zack Short,NYY,SS
Aaron Nola,PHI,SP
Adolis García,PHI,OF
Alec Bohm,PHI,3B
Brad Keller,PHI,RP
Brandon Marsh,PHI,OF
Bryan De La Cruz,PHI,OF
Bryce Harper,PHI,1B
Bryse Wilson,PHI,SP/RP
Bryson Stott,PHI,2B
Chase Shugart,PHI,RP
Cristopher Sánchez,PHI,SP
Dylan Moore,PHI,2B/SS/OF
Edmundo Sosa,PHI,2B/3B
Garrett Stubbs,PHI,C
J.T. Realmuto,PHI,C
Jesús Luzardo,PHI,SP
Jhoan Duran,PHI,RP
Johan Rojas,PHI,OF
Jonathan Bowlan,PHI,RP
José Alvarado,PHI,RP
Kyle Backhus,PHI,RP
Kyle Schwarber,PHI,DH
Liover Peguero,PHI,1B/SS
Lou Trivino,PHI,RP
Max Lazar,PHI,RP
Michael Mercado,PHI,RP
Nolan Hoffman,PHI,RP
Orion Kerkering,PHI,RP
Otto Kemp,PHI,1B/3B
Rafael Marchán,PHI,C
Seth Johnson,PHI,RP
