season,team,R,TB,RBI,SB,OBP,K,QS,ERA,WHIP,SVHD
2025,This Ain't No Hobby,730,2259,714,122,.3437,1560,115,3.844,1.241,120
2025,Atlanta Cougars,751,2164,702,123,.3519,1715,114,3.988,1.221,94
2025,Batt Payne,712,2138,685,114,.3376,1640,114,3.834,1.197,95
2025,Tax Nation,692,2182,675,160,.3234,1566,124,3.559,1.150,100
2025,Mile High And Tight,727,2217,724,90,.3255,1576,111,3.512,1.211,97
2025,Rikers Island,722,2213,694,153,.3262,1460,98,3.721,1.222,99
2025,The Notorious G.I.B.,740,2166,709,106,.3344,1226,83,3.693,1.191,73
2025,You're F****** Out,581,1767,541,130,.3193,1142,74,3.742,1.179,58
2025,Trash Pandas,686,2094,669,116,.3212,1392,98,4.058,1.254,71
2025,Last Place Champs,661,2028,634,96,.3395,956,61,3.921,1.242,102
