Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cole Sulser","TBR",2.597,2.7928,0,4.30022,55,0,0,10.0009,,55,237.274,54.9058,28.3024,26.2791,7.82833,20.1925,1.5008,1.972,48.5035,7.93694,3.30423,2.40206,1.281,0.20442,0.085102,0.11931776255369186,0.255246,1.36542,0.296499,0.729605,0.425596,,4.43068,0.0151538,0.0470028,999,,,,,,,237.60000000000002,4.32,243,4.418181818181818,6.82,5.85,5.23,4.76,4.36,3.99,3.63,3.25,2.78,5.43,5.13,4.92,4.75,4.59,4.44,4.29,4.11,3.88,"Cole Sulser","15256",642121
"Andrew Sears","DET",0.3902,0.3938,0,3.94145,8,0,0,0.6095,,8,34.453,7.6463,3.7995,3.50351,0.944,3.0008,0.2091,0.4329,6.9915,7.86544,3.3759,2.32988,1.062,0.202929,0.0870984,0.11583026498556137,0.246501,1.33089,0.290346,0.734288,0.425339,,4.2089,0.0147982,0.00944342,999,,,,,,,35.10000000000001,4.387500000000001,36,4.5,8.62,6.08,4.73,3.82,3.12,2.55,2.06,1.6,1.13,5.04,4.75,4.55,4.38,4.24,4.09,3.94,3.78,3.56,"Andrew Sears","sa3023133",808825
"Jared Lyons","CIN",0.4305,0.6923,0.5541,5.31634,1.62,1.62,0,0,,9.234,41.131,9.9557,5.8106,5.45456,1.69906,3.9512,0.0377,0.346,6.8822,6.7078,3.85107,1.7418,1.656,0.167324,0.0960638,0.07126010954380035,0.270287,1.50605,0.292244,0.702303,0.401875,,5.43262,0.0146788,-0.00360114,999,,,,,,,18.000000000000007,2.000000000000001,21,2.3333333333333335,10.56,7.93,6.44,5.4,4.58,3.88,3.25,2.64,1.98,6.56,6.22,5.99,5.79,5.62,5.45,5.28,5.08,4.82,"Jared Lyons","sa3020483",805723
"Yoniel Curet","PHI",0.4681,0.6528,0.6017,5.04891,1.62,1.62,0,0,,9.234,41.445,9.0839,5.5367,5.18018,1.44666,4.9188,0.038,0.6563,7.7535,7.55702,4.79415,1.5763,1.41,0.187079,0.118683,0.0683966800570488,0.253246,1.51643,0.286364,0.706833,0.402281,,5.30374,0.014485,-0.0166211,999,,,,,,,28.900000000000013,3.2111111111111126,30,3.3333333333333335,10.17,7.58,6.13,5.11,4.31,3.64,3.04,2.46,1.83,6.23,5.92,5.7,5.52,5.36,5.2,5.04,4.85,4.61,"Yoniel Curet","sa3015446",692414
"Jake Miller","DET",0.482,0.498,0,4.04743,10,0,0,0.6095,,10,42.992,9.86,4.8635,4.49714,1.24444,3.4715,0.2609,0.4202,8.3536,7.51824,3.12435,2.40634,1.12,0.194306,0.0807476,0.1135583370923996,0.252172,1.33315,0.29203,0.730675,0.415916,,4.2497,0.013892,0.0118146,999,,,,,,,46.7,4.67,48,4.8,8.51,6.19,4.92,4.05,3.37,2.81,2.31,1.83,1.33,5.21,4.89,4.67,4.49,4.33,4.18,4.02,3.84,3.6,"Jake Miller","sa3020408",805725
"Emmanuel Clase","CLE",0.0527,0.0452,0,3.22974,1,0,0,0,,1,4.127,0.9163,0.3964,0.35886,0.0886667,0.2661,0.0271,0.0383,1.0087,9.0783,2.3949,3.79068,0.798,0.244415,0.0644778,0.17993700504302979,0.239706,1.1824,0.303693,0.742724,0.511828,,3.1836,0.013398,0.0549623,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Emmanuel Clase","21032",661403
"Lyon Richardson","CIN",1.0399,1.116,0,4.30559,22,0,0,0.6505,,22,96.238,21.5655,11.4073,10.5248,2.79889,9.9374,0.6582,0.9602,19.9108,8.14533,4.0653,2.00362,1.145,0.206891,0.103259,0.10363266617059708,0.2527,1.43195,0.299639,0.728512,0.476143,,4.46499,0.0131109,0.114402,999,,,,,,,79.7,3.622727272727273,82,3.727272727272727,7.86,6.29,5.35,4.66,4.1,3.6,3.14,2.67,2.14,5.41,5.13,4.93,4.78,4.63,4.49,4.35,4.18,3.96,"Lyon Richardson","24581",680689
"Zach McCambley","PHI",2.3153,2.3886,0,4.27542,48,0,0,4.0615,,48,208.786,45.3651,24.6069,22.8022,6.192,22.0336,1.2669,2.2002,44.1437,8.27694,4.1313,2.00347,1.161,0.21143,0.105532,0.10589838773012161,0.245812,1.40414,0.291865,0.72862,0.433303,,4.48743,0.0130101,0.0971105,999,,,,,,,196.40000000000003,4.091666666666668,194,4.041666666666667,6.94,5.89,5.23,4.73,4.3,3.92,3.54,3.15,2.67,5.45,5.13,4.91,4.73,4.57,4.41,4.25,4.07,3.83,"Zach McCambley","sa3014478",685112
"Joe Kelly",,0.0541,0.0439,0,3.22254,1,0,0,0,,1,4.219,0.8145,0.3948,0.35806,0.083,0.4577,0.023,0.0487,1.2025,10.8225,4.1193,2.62727,0.747,0.28502,0.108485,0.1765347123146057,0.219388,1.2722,0.301389,0.758997,0.493998,,3.32834,0.0122026,0.0554705,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Joe Kelly","9761",523260
"Mike Clevinger","PIT",1.202,1.4782,0.5799,4.59359,17.62,1.62,0,0.6612,,25.0731,108.486,25.7386,13.6567,12.7973,3.66624,8.2871,0.4446,1.1725,19.9826,7.17276,2.97466,2.41129,1.316,0.184195,0.0763887,0.10780653357505798,0.259917,1.35706,0.292824,0.704981,0.367101,,4.57392,0.011595,0.0447108,999,,,,,,,85.20000000000002,3.408000000000001,90,3.6,8.93307,6.80529,5.59778,4.73093,4.04942,3.46237,2.93257,2.41,1.84105,5.6214,5.34778,5.16054,5.00692,4.87331,4.73969,4.59607,4.43883,4.22521,"Mike Clevinger","12808",605182
"Cody Laweryson","MIN",1.1078,1.2441,0,4.54631,24,0,0,0.6402,,24,104.621,24.5719,12.9839,12.1235,3.41867,8.807,0.6292,0.9909,19.6643,7.37411,3.30263,2.2328,1.282,0.187957,0.08418,0.1037774533033371,0.259134,1.39079,0.294859,0.713292,0.392275,,4.57296,0.0113318,-0.054827,999,,,,,,,89.70000000000002,3.7375000000000007,95,3.9583333333333335,,,,,,,,,,,,,,,,,,,"Cody Laweryson","26429",689520
"Tate Kuehner","MIL",0.3898,0.3942,0,3.97094,8,0,0,0.6236,,8,34.692,7.4992,3.837,3.52972,0.923556,3.5778,0.2105,0.3914,7.413,8.33963,4.02502,2.07194,1.039,0.21368,0.10313,0.11054998636245728,0.244092,1.38462,0.293736,0.739982,0.451824,,4.27111,0.0112918,0.0199329,999,,,,,,,34.7,4.3375,33,4.125,8.68,6.14,4.78,3.86,3.16,2.59,2.09,1.62,1.15,5.06,4.77,4.58,4.42,4.27,4.14,3.99,3.83,3.61,"Tate Kuehner","sa3023099",804249
"Lazaro Estrada","TOR",1.243,1.207,0,4.15963,25,0,0,0.6494,,25,105.753,24.0104,12.3407,11.5545,3.86667,7.0268,0.6341,1.0394,22.9667,8.26801,2.52965,3.26844,1.392,0.217173,0.0664454,0.15072764456272125,0.24579,1.24149,0.284301,0.729652,0.352141,,4.27641,0.0109787,0.0644891,999,,,,,,,99.4,3.9760000000000004,99,3.96,7.41,5.96,5.09,4.45,3.93,3.47,3.03,2.59,2.08,5.17,4.89,4.7,4.55,4.41,4.27,4.13,3.97,3.76,"Lazaro Estrada","24914",681751
"Joel Hurtado","LAA",0.4083,0.7156,0.57,5.22718,1.62,1.62,0,0,,9.234,41.52,10.4221,5.7725,5.36309,1.36355,4.0803,0.038,0.4725,5.4813,5.3424,3.9769,1.34336,1.329,0.132016,0.0982731,0.03374278545379639,0.281928,1.57054,0.300725,0.693211,0.478369,,5.34675,0.0107964,-0.0315349,999,,,,,,,26.30000000000001,2.9222222222222234,30,3.3333333333333335,10.5,7.88,6.4,5.36,4.54,3.85,3.22,2.62,1.97,6.45,6.14,5.93,5.75,5.59,5.44,5.27,5.09,4.85,"Joel Hurtado","sa3019774",805871
"Jose Franco","CIN",0.661,0.711,0,4.36507,14,0,0,0.6505,,14,60.345,13.3524,7.2757,6.79011,2.14822,5.482,0.3662,0.6175,13.2031,8.48771,3.52414,2.40845,1.381,0.218794,0.0908443,0.1279492899775505,0.246148,1.34531,0.288068,0.73032,0.395892,,4.55079,0.0105448,0.0728541,999,,,,,,,57.20000000000003,4.085714285714288,56,4,8.5,6.49,5.34,4.53,3.88,3.32,2.81,2.32,1.77,5.46,5.17,4.96,4.79,4.64,4.49,4.34,4.16,3.94,"Jose Franco","sa3008714",683742
"Joey Estes","ATH",1.426,1.5139,0,4.5906,30,0,0,0.6332,,30,127.768,30.9365,16.2134,15.302,5.36,7.0184,1.1076,1.6122,24.3183,7.29549,2.10552,3.46494,1.608,0.190332,0.0549308,0.13540088385343552,0.259671,1.26516,0.285902,0.713986,0.319277,,4.69964,0.0095212,0.00125494,999,,,,,,,104.9,3.496666666666667,110,3.6666666666666665,7.72,6.38,5.56,4.94,4.43,3.97,3.53,3.08,2.54,5.56,5.3,5.12,4.97,4.84,4.7,4.57,4.41,4.2,"Joey Estes","26257",683155
"Josh Winckowski","TOR",0.0519,0.0461,0,3.70395,1,0,0,0,,1,4.223,0.9828,0.4505,0.41155,0.109111,0.2898,0.0362,0.0388,0.888,7.992,2.6082,3.06418,0.982,0.210277,0.0686242,0.14165285229682922,0.252362,1.2726,0.301554,0.73412,0.49069,,3.76338,0.00904434,0.0544039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Josh Winckowski","22387",670174
"David Robertson",,0.0522,0.0458,0,3.53358,1,0,0,0,,1,4.235,0.8534,0.4269,0.39262,0.107778,0.3989,0.0277,0.0439,1.1503,10.3527,3.5901,2.88368,0.97,0.271617,0.0941913,0.17742621153593063,0.225041,1.2523,0.294233,0.749402,0.427002,,3.56405,0.00853075,0.0554705,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"David Robertson","8241",502085
"Grant Holman","ATH",0.3841,0.3999,0,4.42823,8,0,0,0.6332,,8,34.904,7.9586,4.2387,3.9362,1.05156,3.4007,0.211,0.3231,6.9739,7.84564,3.82579,2.05072,1.183,0.199802,0.0974301,0.10237221419811249,0.255245,1.41991,0.298299,0.720189,0.430723,,4.49686,0.00851096,0.0274247,999,,,,,,,35.10000000000001,4.387500000000001,36,4.5,9.43,6.77,5.33,4.34,3.59,2.96,2.42,1.9,1.37,5.61,5.29,5.07,4.89,4.73,4.57,4.41,4.22,3.98,"Grant Holman","30002",680880
