Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"J.P. France","HOU",0.611674,0.638848,0,4.89115,13.531,0.417,0,0.6545,,16.2661,71.448,16.0212,9.46,8.84,2.46822,7.06334,0.482124,0.556546,14.587,8.07093,3.90813,2.06516,1.36566,0.204162,0.0988599,0.10530184209346771,0.251005,1.41918,0.289761,0.694101,,,4.71957,-0.00420183,-0.0649321,999,,,,,,,62.20000000000001,3.8875000000000006,64,4,,,,,,,,,,,,,,,,,,,"J.P. France","21212",641585
"Derek Law","ARI",0.743796,0.763958,0,5.27818,21.299,0,0,0.6584,,22.3884,100.059,25.0406,14.01,13.13,2.81133,8.77346,0.523966,1.07156,17.1328,6.88729,3.52688,1.9528,1.13014,0.171227,0.0876828,0.0835440456867218,0.277569,1.51034,0.316341,0.662827,,,4.55626,-0.00699341,-0.253019,999,,,,,,,68.9,3.1318181818181823,79,3.590909090909091,,,,,,,,,,,,,,,,,,,"Derek Law","13133",571882
"Josh Fleming","TOR",0.359306,0.238687,0,4.38455,8.167,0,0,0.6494,,9.0933,39.3183,9.56726,4.76,4.43,0.990901,3.01365,0.360818,0.376563,5.28691,5.23266,2.98273,1.75432,0.980734,0.134464,0.0766475,0.05781670659780502,0.266289,1.38354,0.28925,0.698692,,,4.50741,-0.00898113,-0.0301972,999,,,,,,,33.30000000000001,3.700000000000001,37,4.111111111111111,,,,,,,,,,,,,,,,,,,"Josh Fleming","20418",676596
"Lou Trivino","PHI",0.782222,0.628027,0,4.7734,20.599,0.048,0,0.6346,,21.2113,93.0398,20.6849,12.06,11.25,2.71541,8.92375,0.418223,1.63297,16.5826,7.03605,3.78636,1.85826,1.15215,0.178232,0.0959133,0.08231856673955917,0.250778,1.39589,0.284395,0.679994,,,4.72887,-0.0126744,-0.104302,999,,,,,,,68.9,3.2809523809523813,71,3.380952380952381,,,,,,,,,,,,,,,,,,,"Lou Trivino","15043",642152
"Kirby Yates","LAA",2.12685,1.90658,0,4.65035,55.278,0,10,11.6813,,56.6667,245.742,47.5962,31.23,29.28,9.17801,27.9957,1.4934,3.33082,65.0387,10.3297,4.44637,2.32317,1.45768,0.264663,0.113923,0.15073943138122559,0.221981,1.33397,0.274027,0.707045,,,4.60366,-0.0128658,-0.123672,303.9100036621094,,,,,,,321.29999999999995,5.636842105263157,303,5.315789473684211,,,,,,,,,,,,,,,,,,,"Kirby Yates","9073",489446
"Josh Staumont","CIN",0.373242,0.342791,0,4.97924,9.586,0,0,0.6505,,9.9955,44.3097,9.34365,5.88,5.53,1.39812,5.17176,0.180439,0.572676,9.44586,8.50511,4.65668,1.82643,1.25888,0.213178,0.116718,0.09645997732877731,0.242282,1.45219,0.286622,0.68764,,,4.7876,-0.013231,-0.0785266,999,,,,,,,42.300000000000004,4.23,41,4.1,,,,,,,,,,,,,,,,,,,"Josh Staumont","18335",622251
"Beau Brieske","DET",1.74735,1.71056,0,4.64118,42.194,0.431,0,4.0632,,45.3376,196.413,42.4139,25.08,23.38,6.56536,19.1471,1.15687,1.33597,36.5637,7.25829,3.80091,1.90962,1.30329,0.186157,0.0974839,0.08867327123880386,0.241083,1.35783,0.269941,0.696608,,,4.76009,-0.0135958,-0.15104,999,,,,,,,167.7,3.7266666666666666,164,3.6444444444444444,,,,,,,,,,,,,,,,,,,"Beau Brieske","26079",689225
"Jairo Iriarte","CHW",0.567543,0.55611,0,4.72909,15.476,0,0,0,,16.1384,71.1897,14.6024,9.07,8.48,2.20791,8.23545,0.458047,1.16066,15.4322,8.60619,4.59271,1.87388,1.2313,0.216776,0.115683,0.10109303891658783,0.236308,1.41512,0.280713,0.697219,,,4.74786,-0.0142512,-0.064967,999,,,,,,,57.80000000000001,3.6125000000000007,57,3.5625,,,,,,,,,,,,,,,,,,,"Jairo Iriarte","26907",683568
"Hogan Harris","ATH",2.3257,2.08673,0,4.82152,53.975,0.25,8,11.2523,,65.1641,288.082,61.7467,37.28,34.91,8.99123,31.4073,1.89128,4.08531,63.6221,8.78703,4.33775,2.02571,1.2418,0.220847,0.109022,0.11182519793510437,0.244454,1.42953,0.293124,0.693516,,,4.61017,-0.0144438,-0.307909,713.8599853515625,,,,,,,316.1,4.863076923076924,315,4.846153846153846,,,,,,,,,,,,,,,,,,,"Hogan Harris","21520",663687
"Cole Irvin","LAD",0.375277,0.246397,0,5.07304,7.102,0.183,0,0,,8.1253,35.4728,8.92396,4.89,4.58,1.28026,2.32914,0.238987,0.399804,5.70471,6.31883,2.57987,2.44928,1.41809,0.160819,0.0656599,0.09515950083732605,0.272539,1.38495,0.296741,0.67258,,,4.78687,-0.0145031,-0.0828068,999,,,,,,,29.500000000000007,3.687500000000001,33,4.125,,,,,,,,,,,,,,,,,,,"Cole Irvin","19244",608344
