season,team,R,TB,RBI,SB,OBP,K,QS,ERA,WHIP,SVHD
2024,This Ain't No Hobby,725,2212,659,100,.3286,1545,104,3.544,1.155,112
2024,Batt Payne,732,2227,690,164,.3358,1508,94,3.665,1.175,98
2024,Dont Look Behind You,757,2254,738,124,.3433,1356,93,3.652,1.218,90
2024,Atlanta Cougars,778,2418,776,142,.3382,1109,69,3.985,1.256,115
2024,Rikers Island,745,2256,742,109,.3332,1305,98,4.034,1.199,107
2024,Mile High And Tight,693,2077,608,126,.3217,1507,111,3.356,1.125,95
2024,Tax Nation,565,1815,599,125,.3133,1337,98,3.781,1.182,87
2024,Last Place Champs,664,2064,643,92,.3167,1207,80,3.479,1.119,120
2024,You're F****** Out,631,1882,575,72,.3106,1237,79,3.893,1.232,87
2024,The Notorious G.I.B.,681,2026,669,116,.3313,1225,79,4.371,1.258,88
